"FolderType","ViolationCount","HasNumberingIssue","Filename","Violations","Metadata","Status","LineCount","HasEncodingIssue","HasMarkdownIssue"
"SOLID-Principles","0","False","02_Complete-Design-Principles-Guide.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","02_SOLID-Part2-Open-Closed-Principle-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","02_SOLID-Part2-Open-Closed-Principle-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","02_SOLID-Part2-Open-Closed-Principle-PartC.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","03_SOLID-Part3-Liskov-Substitution-Principle-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","03_SOLID-Part3-Liskov-Substitution-Principle-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","03_SOLID-Part3-Liskov-Substitution-Principle-PartC.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","03_SOLID-Part3-Liskov-Substitution-Principle-PartD.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","04_SOLID-Part4-Interface-Segregation-Principle-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","04_SOLID-Part4-Interface-Segregation-Principle-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","04_SOLID-Part4-Interface-Segregation-Principle-PartC.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","04_SOLID-Part4-Interface-Segregation-Principle-PartD.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","04_SOLID-Principles-Deep-Dive-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","04_SOLID-Principles-Deep-Dive-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","04_SOLID-Principles-Deep-Dive-PartC.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","04_SOLID-Principles-Deep-Dive-PartD.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","04_SOLID-Principles-Deep-Dive-PartE.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","04_SOLID-Principles-Deep-Dive-PartF.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","05_SOLID-Part5-Dependency-Inversion-Principle-PartA.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","05_SOLID-Part5-Dependency-Inversion-Principle-PartB.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","05_SOLID-Part5-Dependency-Inversion-Principle-PartC.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","0","False","05_SOLID-Part5-Dependency-Inversion-Principle-PartD.md","System.Object[]","System.Collections.Hashtable","PASS","1","False","False"
"SOLID-Principles","2","True","README.md","System.Object[]","System.Collections.Hashtable","FAIL","1","False","False"
