"Path","Line","Marker","Text"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","10","TODO","./tools/extract-todos.ps1"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","15","TODO","[string]$OutCsv = ""tools/todo-report.csv"""
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","18","TODO","$patterns = @(""TODO"", ""FIXME"", ""# TODO"", ""// TODO"", ""Migration TODO"", ""MIGRATION TODO"")"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","20","TODO","Write-Host ""Scanning repository for TODO markers..."" -ForegroundColor Cyan"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","44","TODO","Write-Host ""No TODO markers found."" -ForegroundColor Green"
"D:\STSA\swamy-tech-skills-academy-main\tools\extract-todos.ps1","48","TODO","Write-Host ""Wrote $($results.Count) TODO entries to $OutCsv"" -ForegroundColor Green"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","1","TODO","# TODO Scan Report (auto-generated snapshot)"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","9","TODO","- `01_ReferenceLibrary/97_Legacy-Migration-Archive/Data-Structures-Algorithms-Legacy/` — many `TODO` items in templates and lesson plans"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","10","TODO","- `01_ReferenceLibrary/01_Development/17_Git-Version-Control/` — four files with `## TODO` headings"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","11","TODO","- Migration planning files with 'Migration TODO:' markers"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","15","TODO","1. Run `tools/extract-todos.ps1` to produce an up-to-date CSV of TODO locations."
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","16","TODO","2. Triage TODOs into issues or move high-priority items into `05_Todos/` for scheduled work."
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","17","TODO","3. Implement low-effort fixes (stubs, placeholders) for `## TODO` headings to improve reader experience."
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","19","TODO","Top example files with TODOs:"
"D:\STSA\swamy-tech-skills-academy-main\tools\todo-scan-report.md","28","TODO","- This file is a short snapshot created by the assistant during a repository scan. Use `tools/extract-todos.ps1` for a fresh run."
